gene,found_in_s6,n_celltypes,mean_abs_slope,celltypes,topple_ri,stability_class,druggability_score
JAK3,True,27,0.3386387266666667,Bn_TCL1A;CD4_Tcm_CXCR5;CD4_Tcm_IFI44L;CD4_Tem_CCR7neg;CD4_Tfh-like_CXCR5;CD4_Th1-like_GZMK;CD4_Th17-like_RORC;CD4_Th_LMNA;CD4_Th_TNFRSF11A;CD4_Tn_CCR7;CD4_Tn_CXCR5;CD4_Tn_SOX4;CD4_Treg_FOXP3;CD8_CTL_GZMB;CD8_Tcm_IFI44L;CD8_Tem_CCR7neg;CD8_Tn_CCR7;MAIT_SLC4A10;Mature_NK_dim_FCGR3A;Switched_Bm_IGHE;Transitional_B_MME;Transitional_NK_GZMK;Unswitched_Bm_CD1C;cMono_CD14;gdT2_IL12RB2;ncMono_FCGR3A;pDC_IRF4,,not_in_TOPPLE,9.143245620000002
IL4R,True,18,0.3470493316666667,Bn_IFIT3;Bn_IL6;Bn_TCL1A;CD4_Tfh-like_CXCR5;CD4_Th1-like_GZMK;CD4_Th17-like_RORC;CD4_Th22-like_CCR10;CD4_Th_CCR4;CD4_Th_LMNA;CD4_Th_TNFRSF11A;CD8_Tn_CCR7;Switched_Bm_IGHE;Switched_activated_Bm_CD86;Transitional_B_MME;Unswitched_Bm_CD1C;gdT2_IL12RB2;ncMono_FCGR3A;pre-Switched_Bm_JAM3,,not_in_TOPPLE,6.24688797
TYK2,True,12,0.24035858583333333,Bn_TCL1A;CD4_Tem_CCR7neg;CD4_Tfh-like_CXCR5;CD4_Th1-like_GZMK;CD4_Th17-like_RORC;CD4_Tn_CCR7;CD8_CTL_GZMB;CD8_Tem_CCR7neg;NKT_NCR1;Transitional_B_MME;Unswitched_Bm_CD1C;cMono_CD14,,not_in_TOPPLE,2.88430303
PDE4A,True,4,0.28002855,CD4_Tn_CCR7;CD4_Treg_FOXP3;cMono_CD14;ncMono_C1QA,,not_in_TOPPLE,1.1201142
JAK1,True,2,0.23365070999999998,CD4_Treg_FCRL3;Mature_NK_dim_FCGR3A,,not_in_TOPPLE,0.46730141999999997
PDE4B,True,1,0.39074966,Plasma_IGHA1,,not_in_TOPPLE,0.39074966
JAK2,True,1,0.2614639,cMono_CD14,,not_in_TOPPLE,0.2614639
IL31RA,False,0,,,,not_in_TOPPLE,0.0
IL13RA2,False,0,,,,not_in_TOPPLE,0.0
IL13,False,0,,,,not_in_TOPPLE,0.0
IL13RA1,False,0,,,,not_in_TOPPLE,0.0
IL5,False,0,,,,not_in_TOPPLE,0.0
IL5RA,False,0,,,,not_in_TOPPLE,0.0
IL33,False,0,,,,not_in_TOPPLE,0.0
TSLP,False,0,,,,not_in_TOPPLE,0.0
IL1RL1,False,0,,,,not_in_TOPPLE,0.0
PDE4D,False,0,,,,not_in_TOPPLE,0.0
