cell_type,n_active_rg_pairs,mean_jaccard
CD4_Tem_CCR7neg,48560,0.5143318004323798
CD4_Th17-like_RORC,46320,0.5142077548403725
CD4_Th1-like_GZMK,50863,0.5131109042714247
CD8_Tem_CCR7neg,51300,0.5114219096030065
MAIT_SLC4A10,49021,0.508502219614056
gdT2_IL12RB2,45374,0.5060357109172018
CD4_Treg_FOXP3,47747,0.5054963695373422
Plasma_IGHA1,37826,0.5040007680200651
CD4_Tcm_IFI44L,46449,0.5033274630927836
CD4_Tfh-like_CXCR5,51690,0.5029025388845407
CD4_CTL_GZMH,43773,0.4990320654416204
CD4_Th_LMNA,37752,0.49835431414623926
gdT2_GZMH,44316,0.4966949440882291
CD4_Tr1_IL10,39684,0.49508782049955613
CD8_CTL_GZMB,46901,0.4943337907393226
CD4_Tn_CCR7,53009,0.48944681509134635
CD4_Th_TNFRSF11A,34866,0.4861608434649466
CD8_Tn_CCR7,51220,0.48566929839967893
CD4_Treg_FCRL3,37972,0.4848564491063257
Transitional_NK_GZMK,45895,0.4847972504649207
NKT_NCR1,47125,0.4847849853720312
CD4_Tcm_CXCR5,38612,0.4846596633181479
Mature_NK_dim_FCGR3A,48849,0.48032644762069865
Proliferative_T_MKI67,34457,0.4800145970456855
CD4_Th22-like_CCR10,32779,0.46968540924943425
CD4_Th_CCR4,32007,0.465220059224006
NK_bright_XCL1,43480,0.46335894892075424
CD8_Tcm_IFI44L,34669,0.45651331920186344
MK_GP9,51476,0.4499624948751759
Plasmablast_MKI67,28671,0.44784739003552154
Bn_TCL1A,55359,0.441338932844186
Switched_Bm_IGHDneg,58363,0.43725828101896597
CD8_CTL_IFI44L,27625,0.4360415951956551
Transitional_B_MME,53741,0.43170418584836245
Switched_Bm_IGHE,50541,0.42999544037326376
Switched_activated_Bm_CD86,56406,0.4293771287310926
Unswitched_Bm_CD1C,57048,0.42839046621634913
Atypical_Bm_ITGAX,56252,0.41643361426965914
pre-Switched_Bm_JAM3,47879,0.41617267969101995
HSPC_CD34,53089,0.40243321107635
Terminal_NK_dim_CD160neg,28378,0.38473485991996126
CD4_Tem_CCR5,23948,0.3810898204770468
gdT1_TRDV1,24844,0.37966736973034254
Plasma_IGHG1,23549,0.3698466690701459
cMono_CD14,75841,0.3666604041360299
cMono_IFI44L,66042,0.3660681180412071
pDC_IRF4,68321,0.3637254043716716
intMono_GFRA2,72822,0.363384249971833
ncMono_C1QA,74269,0.3583678393847626
DC2_CD1C,81800,0.3568247444692635
ncMono_FCGR3A,78723,0.35196049715950106
ILC2_IL2RA,22253,0.34814644499566283
cMono_IL1B,55658,0.34085805507762656
AS_DC,49998,0.3394400544392624
cMono_CXCL10,50477,0.33049827833986345
Proliferative_NK_MKI67,19519,0.3280486764266787
Bn_IFIT3,26785,0.32407824144853103
gdT2_GZMK,15631,0.28881165045771084
DC1_CLEC9A,34373,0.2695662391473417
ncMono_IFIT1,36207,0.26617616937026806
CD8_CTL_GZMK,14076,0.2641521113867753
DC_CSF2RA,30193,0.25533849242189327
NKT_IFNG,1411,0.03326674945404838
pre-Switched_Bm_IFIT3,404,0.009815278141156673
Unswitched_Bm_IL6,124,0.003373507753084188
