cell_type,heterogeneity_cv,specificity_n_low,mean_rb,rb_range,n_disease_associations
Atypical_Bm_ITGAX,0.06566536119892182,1,0.8434928301984557,0.41773781909518004,9
Bn_IFIT3,0.0669172384576128,1,0.8128396634908479,0.24919401955755505,4
Bn_IL6,0.0684763047582978,1,0.8145859082368849,0.299819378978176,5
Bn_TCL1A,0.08475201636668155,1,0.8222740975334178,0.471300965489923,23
CD4_CTL_GZMH,0.07726931240271967,1,0.8691382613024871,0.339581585214941,16
CD4_Tcm_CXCR5,0.08382089312174584,1,0.871932327538619,0.3807496064886441,21
CD4_Tcm_IFI44L,0.057980860637302276,1,0.8881021259389834,0.261754592691932,7
CD4_Tem_CCR7neg,0.0836935068971938,1,0.8742390818826428,0.39752395035035193,24
CD4_Tfh-like_CXCR5,0.32649794389810727,7,0.7855945854897545,0.96470870317856,27
CD4_Th1-like_GZMK,0.3235160673022223,7,0.7964122435251711,0.961203283468575,28
CD4_Th17-like_RORC,0.3222861803076495,7,0.7938104618598305,0.96069556489977,21
CD4_Th22-like_CCR10,0.3177529512715073,7,0.8068075910751837,0.965200483658291,17
CD4_Th_CCR4,0.05722145248182669,1,0.8766026790641638,0.295286256834116,8
CD4_Th_CR1,0.11389228340540918,23,0.7440244808378682,0.33941140704582196,3
CD4_Th_LMNA,0.07138881837875309,1,0.8831217775903819,0.31668439125481695,10
CD4_Th_TNFRSF11A,0.0784778508698732,1,0.877817152108239,0.34982778851349794,17
CD4_Tn_CCR7,0.10640135432925626,5,0.8406952949981294,0.495570352758946,33
CD4_Tn_CXCR5,0.07564234048527094,1,0.8746675125220061,0.35148077613295703,7
CD4_Tn_LIMS1,0.06154885155677519,1,0.8765892429347826,0.278884184976821,8
CD4_Tn_SOX4,0.06965708782667791,1,0.8692782291309576,0.302330667923814,8
CD4_Tr1_IL10,0.3155969988383317,6,0.782634614950132,0.935040430924721,4
CD4_Treg_FCRL3,0.07857368917473118,1,0.8692240581887037,0.357652982958218,8
CD4_Treg_FOXP3,0.06950088129243312,1,0.8713307437788648,0.30157459138507503,12
CD8_CTL_GZMB,0.09823748841200365,2,0.8484487724610495,0.45131452366119995,34
CD8_CTL_GZMK,0.07695410444848418,1,0.8796298502851395,0.327761104176041,8
CD8_CTL_IFI44L,0.054735345848398245,1,0.8465158323498846,0.23872418401460305,1
CD8_Tcm_IFI44L,0.07043038464542219,1,0.8799195440242668,0.3211003378961029,8
CD8_Tem_CCR7neg,0.09127465464472087,1,0.8702125589204428,0.428684982913479,32
CD8_Tn_CCR7,0.10139997031315286,3,0.8508061610819492,0.47769033089191604,32
CD8_Tn_SOX4,0.048653564974100075,0,0.8766312146978501,0.22214268797761105,6
DC1_CLEC9A,0.14950072700668057,24,0.71733338991811,0.485003719611066,3
DC2_CD1C,0.09945091613355904,6,0.8115668240959026,0.5060302052924139,23
DC_CSF2RA,0.08838042876257778,5,0.7977304555654079,0.477215462479454,1
HSPC_CD34,0.05960897471249319,3,0.7934820338634339,0.24473474630203296,3
ILC2_IL2RA,0.1574088701670632,34,0.7481676066453788,0.37288729956772104,2
Immature_T_CABP4,0.3164929363936519,8,0.7622216229420411,0.898970467147934,3
MAIT_SLC4A10,0.10046690908638117,2,0.857142704351027,0.464599248283853,30
MK_GP9,0.22109152694711684,63,0.522980682860828,0.40298884095607396,6
Mature_NK_dim_FCGR3A,0.11275588289533153,5,0.8317805029483168,0.48931828359763896,30
NKT_IFNG,0.11178573103795074,3,0.8158248191911819,0.5261970990633431,1
NKT_NCR1,0.10345125168111684,3,0.843104918672579,0.48711005809592295,30
NK_bright_XCL1,0.09261502534581761,3,0.8427840426591575,0.5496641544231111,7
Plasma_IGHA1,0.0910061778575607,6,0.783530318274808,0.503131250522483,6
Plasma_IGHG1,0.10567013901994099,14,0.7643490579685233,0.572425685242494,5
Proliferative_NK_MKI67,0.08854932504542008,6,0.7835277902657953,0.28890039884749197,2
Proliferative_T_MKI67,0.057454126013316204,1,0.8477562619021387,0.28223827363578,5
Switched_Bm_IGHDneg,0.10560107789481762,4,0.8414502900772148,0.5859846082569491,9
Switched_Bm_IGHE,0.10684065361388569,3,0.8362277615226117,0.583309298935498,9
Switched_activated_Bm_CD86,0.09983323804563889,4,0.8372934664501451,0.5431192013791559,10
Terminal_NK_dim_CD160neg,0.11603464273504,7,0.819232465643596,0.49929752060197496,6
Transitional_B_MME,0.10940149518245085,4,0.8270391828368312,0.576917218930175,17
Transitional_NK_GZMK,0.11676894069565738,5,0.8358526866533501,0.5153713312502439,11
Unswitched_Bm_CD1C,0.10469180594518088,3,0.8391411878320917,0.577148745740103,7
Unswitched_Bm_IL6,0.09706377077353825,2,0.820575080192674,0.536831915307882,1
cMono_CD14,0.10522843924057242,6,0.8069728222024011,0.49124596213146793,42
cMono_CXCL10,0.10324345593603233,10,0.7601052463611107,0.540127876068311,2
cMono_IFI44L,0.10799428172012364,4,0.7905100642181792,0.5691994994067271,21
cMono_IL1B,0.1088114733613415,6,0.7814836916124493,0.575003857924499,9
gdT1_TRDV1,0.10830877339891724,4,0.8397035890481538,0.516267537366261,5
gdT2_GZMH,0.12446701263046672,6,0.8449703380485826,0.540523661475497,24
gdT2_GZMK,0.11435631198150249,4,0.8496049706704529,0.5284222630765001,9
gdT2_IL12RB2,0.12030410837248603,4,0.8523158618767083,0.514062268239306,18
intMono_GFRA2,0.11258342098396681,7,0.7744603415940221,0.554237728440081,8
ncMono_C1QA,0.10817656472501144,6,0.8002437193049888,0.555733739451922,9
ncMono_FCGR3A,0.10471134091946131,6,0.8040929208562,0.548919009640987,20
ncMono_IFIT1,0.1148658898869459,10,0.7587618804908761,0.566252373476873,3
pDC_IRF4,0.0990872743796113,6,0.7777175505360578,0.45636865273521504,7
pre-Switched_Bm_JAM3,0.3217395552449186,7,0.7690585167255848,0.965048165049285,8
