cell_type,mean_rb,median_rb,std_rb,cv_rb,entropy,n_pairs
CD4_Th17-like_RORC,0.8709718053870967,0.891149926,0.0706100407257375,0.0810704092704303,3.4306425124383275,31
CD4_Th1-like_GZMK,0.8689769472580646,0.8966149,0.08728114861882941,0.10044127050117138,3.4288027292583063,31
CD4_Tfh-like_CXCR5,0.8653976870645163,0.88889978,0.08205128461699357,0.09481338561848567,3.4293892053351103,31
Plasma_IGHA1,0.8230540114634146,0.856548967,0.1328073785695549,0.16135925069293985,3.6993012001609813,41
MK_GP9,0.8225302017560975,0.832390252,0.13744962452027853,0.16710586945843975,3.698080295189702,41
CD4_Treg_FCRL3,0.8173366050731707,0.854522237,0.12527375361718637,0.15327070002691418,3.700915262909275,41
CD4_Tem_CCR7neg,0.8171385661707316,0.839321908,0.11875296711071127,0.14532782079691883,3.7024810971039153,41
gdT2_GZMH,0.8167499048780488,0.831260379,0.11939011977275045,0.14617708439228644,3.702426249648283,41
CD8_Tem_CCR7neg,0.8163965643414633,0.824577004,0.12803420294600212,0.15682844408988836,3.700636551486384,41
MAIT_SLC4A10,0.8157835191951219,0.827148679,0.12709203515643233,0.15579137377257313,3.700718456099192,41
CD4_Th_TNFRSF11A,0.8148193998536587,0.846291935,0.11122135608896311,0.13649816893036473,3.7036501094186436,41
gdT2_IL12RB2,0.8141082105365854,0.824875204,0.12682464735016544,0.15578352571407464,3.70074114914995,41
CD4_CTL_GZMH,0.813071194195122,0.823770873,0.1257901879604776,0.15470993051844648,3.7009153423288232,41
CD4_Treg_FOXP3,0.8130165543170731,0.836829956,0.11555719372011634,0.1421338755115305,3.7029426972652986,41
CD4_Tcm_CXCR5,0.8118610603902439,0.815709939,0.12016822596212703,0.14801575272542913,3.7021066314605857,41
NKT_NCR1,0.8100674044146341,0.820042049,0.1190470481869788,0.14695943515095986,3.702260005808469,41
CD8_CTL_GZMB,0.8085417089999999,0.815698938,0.12737605174424096,0.15753800988421363,3.700534296066692,41
Transitional_NK_GZMK,0.8055783366829268,0.830075576,0.1168131062481401,0.1450052725215194,3.7023843805314405,41
Mature_NK_dim_FCGR3A,0.8045978915609756,0.817124854,0.11599519264355698,0.14416541959676066,3.7026104611786756,41
CD4_Tcm_IFI44L,0.8021060972439025,0.826132356,0.12810033863981057,0.1597049805256101,3.700043616821734,41
CD4_Tn_CCR7,0.7970948043170731,0.816414004,0.11932918952149096,0.1497051403110432,3.701840162474231,41
CD4_Th_LMNA,0.7948757832439023,0.826701157,0.12008964903869118,0.15107976814767607,3.7015817945661627,41
CD8_Tn_CCR7,0.7925434010487806,0.817589936,0.11836288561891208,0.1493456200156121,3.701912997624986,41
Proliferative_T_MKI67,0.7915508889512195,0.808846846,0.10770254381028249,0.1360652174277576,3.703599923690238,41
Switched_Bm_IGHDneg,0.7897936145853659,0.830387356,0.12243688996159802,0.15502390460054075,3.700571343935474,41
Bn_TCL1A,0.7891732417317073,0.832560736,0.11664542332554152,0.1478071190928659,3.701780591078385,41
Switched_Bm_IGHE,0.7855333859999999,0.825217938,0.119495300691621,0.15211995164215847,3.701235626379874,41
Atypical_Bm_ITGAX,0.7842655177317073,0.808295236,0.10794845262774164,0.13764273729636317,3.7034279644925854,41
Transitional_B_MME,0.7829443666341463,0.82636309,0.12342201645152698,0.15763829680787464,3.7001547290176724,41
Switched_activated_Bm_CD86,0.7781676008292683,0.813685457,0.11753654567358288,0.15104271309718875,3.7013304512320064,41
Unswitched_Bm_CD1C,0.7754053053414633,0.816784269,0.12958058306801917,0.16711335629945953,3.6984387358505155,41
NK_bright_XCL1,0.7751439271463414,0.798570488,0.10648291266292863,0.13737179500965818,3.703514372109357,41
DC2_CD1C,0.7476208852682926,0.755885883,0.10030855790614501,0.13417035275860184,3.7043964476377456,41
ncMono_FCGR3A,0.7464831918292684,0.752470786,0.10202947310175885,0.13668020153505944,3.704096738850252,41
cMono_CD14,0.7437889402195123,0.746130095,0.10384547721455997,0.13961686118095862,3.7038185002114825,41
ncMono_C1QA,0.7400396423414635,0.742123231,0.10690953181264493,0.14446460121296523,3.7031564855822734,41
cMono_IFI44L,0.7369789856829269,0.734714383,0.10413454974783576,0.1412992117425692,3.7036511032401855,41
intMono_GFRA2,0.7320376838292683,0.735312154,0.11200269859598896,0.1530012744837206,3.701843846175702,41
cMono_IL1B,0.7171306468536585,0.708369184,0.11706092250890675,0.1632351413546475,3.7004278407294593,41
pDC_IRF4,0.7142269122682927,0.749203593,0.09042630223634002,0.1266072457969383,3.7049012834088355,41
CD4_Tr1_IL10,0.5699794273928571,0.5766715975000001,0.04566725815198192,0.08012088850446503,3.3288450583661233,28
