cell_type,mean_rb,median_rb,std_rb,cv_rb,entropy,min_rb,max_rb,n_pairs
CD4_Th22-like_CCR10,0.8822893178274034,0.8965068143455815,0.0560524757230458,0.06353072012825954,3.9869102593670807,0.683989466720421,0.965200483658291,54
CD4_Th1-like_GZMK,0.8703368262581265,0.888804414389389,0.0757490409639931,0.08703416732308564,3.9850223532495526,0.574589524843453,0.960059030085745,54
CD4_Th17-like_RORC,0.8683824010504361,0.881022977209789,0.07080285376087846,0.08153418779011644,3.985515606482811,0.587876786099636,0.96069556489977,54
CD4_Tfh-like_CXCR5,0.8579879415575759,0.8745506199923345,0.08273250550738721,0.09642618677973039,3.984098791737336,0.532020717868149,0.959632457746693,54
CD4_Tr1_IL10,0.8503365268054617,0.8545656157723205,0.046387373000877044,0.05455178219280407,3.827129226795343,0.715583318702128,0.935040430924721,46
CD8_Tem_CCR7neg,0.8499478583758586,0.8841577158515265,0.10589565612697295,0.12459076763758893,4.211176450466585,0.474896718366128,0.964838100268119,68
gdT2_IL12RB2,0.8487536360040769,0.8779153944766445,0.10505328169521755,0.1237735866320494,4.211286485922528,0.453819555934293,0.967881824173599,68
CD8_CTL_GZMK,0.8461696316910152,0.8841420716549886,0.11143260650844672,0.1316906236468873,4.210060370323211,0.405178681953441,0.961949411320791,68
MAIT_SLC4A10,0.8445937393031357,0.873386500968803,0.10303272603576315,0.12199087116223976,4.211548435571617,0.46302612406019,0.966440523437664,68
CD4_Tem_CCR7neg,0.8443531322096129,0.8662562817179724,0.10661037383118079,0.1262627800671372,4.210990347515185,0.477334532722071,0.96470870317856,68
CD4_Th_TNFRSF11A,0.8436812268057572,0.8677973886695115,0.1058619421607067,0.12547623296242855,4.211038283034345,0.437004270078435,0.970989694836395,68
gdT2_GZMK,0.8429247262725141,0.873807579224626,0.10136544878707066,0.12025444933299965,4.211671117125222,0.430052992092487,0.959400507640288,68
CD4_Th_LMNA,0.8427077433062645,0.8628348106132899,0.10705646391480564,0.1270386617011281,4.210765275160864,0.411442204252754,0.969636109587061,68
gdT2_GZMH,0.8418713432538405,0.87004104973274,0.10731082876983827,0.12746701693762486,4.210681212171639,0.42557942494474,0.966103086420237,68
CD4_Tcm_CXCR5,0.8415591711649522,0.857822194577559,0.10674770822900588,0.12684516060972556,4.210862839838511,0.437234266773429,0.964728116861263,68
CD4_CTL_GZMH,0.8409185611964183,0.86540643094812,0.10273669464684948,0.12217199071058757,4.211444484737734,0.432392952255446,0.959637708981963,68
CD8_Tcm_IFI44L,0.8398296612827276,0.8685468861120931,0.10820186475695202,0.1288378700410368,4.210481861227275,0.416255480157077,0.960916182698621,68
CD4_Th_CCR4,0.8387984330568015,0.8595009516660075,0.1043982796120537,0.12446170080647265,4.2110262671054555,0.388275114884757,0.959425489278749,68
CD4_Tcm_IFI44L,0.8383352375199662,0.860465084488189,0.10467735783506595,0.12486336390288366,4.211100131853175,0.415629793817823,0.95677424961942,68
CD4_Tn_CXCR5,0.8375801907202436,0.8562286333539315,0.10866313474247728,0.12973460445505136,4.21044378328149,0.421104680604595,0.965534623682969,68
CD4_Treg_FOXP3,0.8374262043622431,0.858780257454567,0.10082716001400797,0.1204012478816503,4.211704300951257,0.453410531504906,0.944621431522317,68
CD8_Tn_CCR7,0.8372507532454394,0.8501642310126445,0.1051851663862701,0.12563161750352603,4.211084350120361,0.486598820397086,0.975479209035754,68
NKT_IFNG,0.8369919641404971,0.8497627276821995,0.09176253927422033,0.10963371598011795,4.213016135339979,0.426694157996033,0.952891257059376,68
CD8_CTL_GZMB,0.8368702042325432,0.864851991955772,0.0997663276140044,0.11921362131119928,4.211931639686235,0.490123905967699,0.969756431123844,68
NKT_NCR1,0.8361705565475952,0.8559240561403415,0.09712621721527746,0.11615598809924013,4.212311370062726,0.486930914925696,0.966715713816295,68
Transitional_NK_GZMK,0.8358526866533501,0.8552896274975225,0.0976016327982477,0.11676894069579707,4.212155438588291,0.441392797093735,0.956764128343979,68
CD4_Tn_CCR7,0.8355678702807481,0.8472671565714436,0.10349064144289782,0.12385665500532626,4.211339910114052,0.496389017025863,0.977368130441954,68
CD4_Tn_LIMS1,0.8345461465770934,0.8548211619547705,0.10369118374483542,0.12424859208819879,4.211188628033202,0.432075359495672,0.954027099624687,68
CD8_CTL_IFI44L,0.834493404382206,0.8537885080387135,0.0915374136301669,0.10969219546790078,4.213022451344348,0.435089309200799,0.938389556377885,68
CD4_Treg_FCRL3,0.8336017052974399,0.856744978359769,0.10449424250408948,0.12535272161757943,4.211075556822989,0.436713757174543,0.957746559082895,68
NK_bright_XCL1,0.8332256704475707,0.862988025347747,0.09376535816873584,0.11253296855144823,4.212455246509638,0.391673893032724,0.940481135996075,68
Switched_Bm_IGHDneg,0.8317901931778502,0.8587724318792911,0.09711910684671583,0.11675913907529106,4.21193074253209,0.377695246802597,0.962106339331479,68
Switched_activated_Bm_CD86,0.8312928133855324,0.856324799697682,0.09209613780360823,0.11078664018342282,4.212750830865599,0.412234844966986,0.955354046346142,68
Mature_NK_dim_FCGR3A,0.8308167164979314,0.85212304352885,0.09486673060104528,0.11418490831639577,4.212543749300631,0.48472268942398,0.974040973021619,68
gdT1_TRDV1,0.8304053055826784,0.8569439167633806,0.09344930087789807,0.11253456625295356,4.21261310948102,0.42240261303989,0.938670150406151,68
Unswitched_Bm_CD1C,0.8301342489417811,0.856005616901687,0.09653560392826413,0.11628914726903931,4.212050711972992,0.387899419309182,0.965048165049285,68
Bn_TCL1A,0.8292801246225097,0.8595917269220865,0.09318910926391673,0.11237349901076749,4.2126629590119355,0.44006522997131,0.972244996206853,68
pre-Switched_Bm_JAM3,0.8280523429794835,0.8280523429794835,0.009221775050018532,0.01113670546095782,0.6930851661737446,0.818830567929465,0.837274118029502,2
CD8_Tn_SOX4,0.8266908746447679,0.8477071895757335,0.10057763105800328,0.12166292642485241,4.211244063058871,0.331821343241943,0.952625510767764,68
Switched_Bm_IGHE,0.8263934033900138,0.8504504412297975,0.0981027865097766,0.11871196709380955,4.211705968583294,0.377511437760776,0.958365787986952,68
CD4_Tn_SOX4,0.8261417312259888,0.8487435065714255,0.10744193147698164,0.1300526621715847,4.210333408977104,0.397311553248592,0.950060866605618,68
CD4_Th_CR1,0.8256112417181387,0.858898429403654,0.10101312877420147,0.1223495074558191,4.211357105294001,0.402612187335291,0.942781488024022,68
Transitional_B_MME,0.8238562222404063,0.8543663463079425,0.09726150931419313,0.11805641165117232,4.211817981112369,0.390494718600482,0.967411937530657,68
Terminal_NK_dim_CD160neg,0.8192747228183462,0.8408359493392155,0.0951112087269981,0.11609196045962551,4.212257123876999,0.450157399919359,0.949454920521334,68
Atypical_Bm_ITGAX,0.8191654804784674,0.8409253548875055,0.09569424009675209,0.11681918046748982,4.211782255121985,0.331085333825475,0.947771611524468,68
Immature_T_CABP4,0.8180862176070002,0.833030715258176,0.048446066471877505,0.05921877844805653,3.5535257907090414,0.659772483507628,0.881575327307821,35
ILC2_IL2RA,0.8140451501730301,0.846949494076651,0.10239144608117577,0.12578104059635004,4.21029048730521,0.349901027457793,0.935040430924721,68
cMono_CD14,0.8131405368320385,0.8253479225410294,0.08223587632270878,0.10113365721883244,4.213976676475359,0.470366251492811,0.966089010134095,68
Proliferative_T_MKI67,0.8110566003749741,0.8355760748826591,0.09417536024417483,0.11611441199126539,4.212201211998117,0.427792862823757,0.918749220083367,68
DC2_CD1C,0.8105808367173173,0.8273654492456615,0.07918051779477993,0.09768367842921682,4.21422190670304,0.419781712142454,0.923898140467153,68
Unswitched_Bm_IL6,0.808553102395376,0.8195887300725324,0.08898850727473902,0.11005895223344817,4.213036170856418,0.412425961664603,0.949257876972485,68
ncMono_FCGR3A,0.8051756109659833,0.8172824628993525,0.08341700919805234,0.10360101332177149,4.213635362410799,0.423016294651633,0.97193530429262,68
Proliferative_NK_MKI67,0.8034221739292522,0.8233774700533489,0.09101738061346076,0.11328711550034413,4.21255628364297,0.389962126020536,0.934060110279453,68
Bn_IL6,0.8012815896840317,0.8115283757730775,0.09455482571689046,0.1180044904740369,4.211984241321047,0.386837772677615,0.950295941938486,68
ncMono_C1QA,0.8010472878352748,0.8133523027928216,0.08593774540529309,0.10728173818243436,4.213252558391904,0.416201564840698,0.971337538195484,68
Bn_IFIT3,0.7977329717887389,0.8074997733739095,0.09056812548291995,0.11353188182737521,4.212570618377755,0.377328441045536,0.951774101267579,68
DC_CSF2RA,0.796166422395288,0.802330404461038,0.07436059728927907,0.09339830869224958,4.214786759450115,0.431068455556354,0.925011673678627,68
cMono_IFI44L,0.7936033253081833,0.8003254202284995,0.08406218229764995,0.10592468506228313,4.2134395035785115,0.396733139213658,0.963594787259716,68
Plasma_IGHA1,0.7890670767185843,0.8100530253096321,0.07513043524524997,0.0952142567621596,4.2144999424981595,0.416907487794668,0.860201281966029,68
Plasma_IGHG1,0.7882965641382578,0.811826447898911,0.07941629655249852,0.10074418710592001,4.213737535108343,0.347613053074657,0.920038738317151,68
cMono_IL1B,0.7832484995862545,0.787701612918944,0.08385700242136239,0.1070630872139037,4.213362141632797,0.390928780695886,0.965932638620385,68
pDC_IRF4,0.7787858367434333,0.8089519045928305,0.07671726992269165,0.09850881500810567,4.21409016124808,0.398844173370486,0.855212826105701,68
DC1_CLEC9A,0.7738129219351427,0.7903652404669415,0.07099531637922703,0.0917473905730118,4.214840620270408,0.396797436137784,0.88180115574885,68
intMono_GFRA2,0.7724702332348261,0.775144161918111,0.08616482708936846,0.11154452739044883,4.21287187789171,0.393645988995167,0.947883717435248,68
cMono_CXCL10,0.767147245352901,0.768635652259701,0.08477616845958175,0.11050833979151321,4.213096273964596,0.393623092471378,0.957224125470872,68
HSPC_CD34,0.7644985232104993,0.7899319221680134,0.09171552019206342,0.11996821106587043,4.211593861556713,0.428500319977911,0.865039789998317,68
ncMono_IFIT1,0.7601868616655961,0.759801294435879,0.08667054914587423,0.11401216400396083,4.212540812812632,0.385928333734484,0.952180707211357,68
Plasmablast_MKI67,0.7173330098263784,0.728287160238346,0.06825890115521822,0.09515650363244743,4.21460029936403,0.378660536660835,0.897829779067861,68
MK_GP9,0.6030514538465209,0.608711948380934,0.07264790937342643,0.12046718221147945,4.21220489553647,0.458492265164456,0.750601894030731,68
