,Endothelial,Fibroblast_COL1A1,Fibroblast_Dermal_SFRP2,Immune_Mixed,Krt_Basal_POSTN,Krt_Cornified_KRT35,Krt_Differentiated_KRT10,Krt_Glandular_CHIA,Krt_Glandular_KRT19,Krt_HF_Bulge_KRT15,Krt_HF_Inner_KRT25,Krt_KRT17_Appendageal,Krt_Progenitor_KRT19,Krt_Proliferating,Lymphatic_CCL21,Melanocyte_KIT,Mesenchymal_VIM,Neural_ADAM23,Pericyte_RGS5
Endothelial,1.0,0.7875967086545459,0.7090373609225297,0.6082723433951888,0.7914647772742754,0.7233957939761316,0.7821112755793919,0.5491456937406232,0.7660932052994682,0.8328988423222963,0.7965064691446483,0.723454354531002,0.633482081834921,0.7627317059034426,0.6792754042108312,0.5760987938744034,0.7952918818946273,0.5265615647814723,0.8317521035948497
Fibroblast_COL1A1,0.7875967086545459,1.0,0.8048431245420048,0.5705594266035551,0.792133948985243,0.728340857645473,0.7918538475873123,0.5939781648526934,0.7732522907426617,0.8098324384851039,0.8113602137717044,0.7321089828643973,0.5826733516642058,0.7518569312139916,0.6130749436451935,0.5555891396245303,0.7372268978984109,0.5210827200906389,0.80881932736949
Fibroblast_Dermal_SFRP2,0.7090373609225297,0.8048431245420048,1.0,0.5318733128259526,0.7326610353334871,0.7063436995230639,0.7004670452509693,0.5512029877680327,0.6913236314617422,0.7380688959604779,0.7484601433943033,0.6644759107135281,0.515526160317252,0.6721253220021921,0.5907518141910778,0.48677120457779005,0.7094625260413787,0.5369018879031806,0.7460626238170387
Immune_Mixed,0.6082723433951888,0.5705594266035551,0.5318733128259526,1.0,0.6415544577392409,0.5513272006360389,0.6582571915300875,0.5411210118414591,0.6142388283429043,0.650651817095857,0.624576705563586,0.6132406516733886,0.5361716460566787,0.6448001822411014,0.49331552501976855,0.6196165979737499,0.5970999529047449,0.33714443270021355,0.5732231938986682
Krt_Basal_POSTN,0.7914647772742754,0.792133948985243,0.7326610353334871,0.6415544577392409,1.0,0.7712673145175525,0.8969424816218042,0.6444750132887213,0.8295210757160986,0.9149187178715803,0.8567119386618098,0.8244013972719574,0.696148689730365,0.8710066503405045,0.6275303774472365,0.6862264117111171,0.7521202014892291,0.5536152769735762,0.754745518208708
Krt_Cornified_KRT35,0.7233957939761316,0.728340857645473,0.7063436995230639,0.5513272006360389,0.7712673145175525,1.0,0.7688642843965908,0.5780579584500677,0.7452732391457509,0.7781271820415151,0.8164866248155639,0.7270819816884628,0.6036204593609651,0.7452743228304676,0.5862404829772322,0.5843157049644713,0.6935547612930252,0.46526588045148015,0.7102228731013035
Krt_Differentiated_KRT10,0.7821112755793919,0.7918538475873123,0.7004670452509693,0.6582571915300875,0.8969424816218042,0.7688642843965908,1.0,0.701869022036505,0.8512802213535493,0.9003332049684853,0.872404104128884,0.8534712527921786,0.7020349581515807,0.8767836889304792,0.5961948704137783,0.7142328271661751,0.776630095495619,0.46151171543960356,0.7470143792205635
Krt_Glandular_CHIA,0.5491456937406232,0.5939781648526934,0.5512029877680327,0.5411210118414591,0.6444750132887213,0.5780579584500677,0.701869022036505,1.0,0.7606977258111967,0.6454471052518318,0.6617814415652944,0.6511732331850949,0.6291737693329513,0.6377242911553492,0.42411425440732453,0.6216283648998965,0.6607866819744808,0.3164865032753567,0.5626274391799625
Krt_Glandular_KRT19,0.7660932052994682,0.7732522907426617,0.6913236314617422,0.6142388283429043,0.8295210757160986,0.7452732391457509,0.8512802213535493,0.7606977258111967,1.0,0.8506656951035908,0.8341712710417285,0.7862029383795412,0.7449113876167383,0.7826541504133634,0.5891016191532116,0.7211671069439851,0.8041976622686471,0.4892837645841856,0.7411982256954216
Krt_HF_Bulge_KRT15,0.8328988423222963,0.8098324384851039,0.7380688959604779,0.650651817095857,0.9149187178715803,0.7781271820415151,0.9003332049684853,0.6454471052518318,0.8506656951035908,1.0,0.8813907712917606,0.8588799381039877,0.7107797755109703,0.8767658976476638,0.6510487416859814,0.7132311249026079,0.7796113586434564,0.5153024408400869,0.7773035245214983
Krt_HF_Inner_KRT25,0.7965064691446483,0.8113602137717044,0.7484601433943033,0.624576705563586,0.8567119386618098,0.8164866248155639,0.872404104128884,0.6617814415652944,0.8341712710417285,0.8813907712917606,1.0,0.8364151561250579,0.6751504408442052,0.8393390592017979,0.6135810456183599,0.6821943054171412,0.7895423656893525,0.4641955291302649,0.7759158895288111
Krt_KRT17_Appendageal,0.723454354531002,0.7321089828643973,0.6644759107135281,0.6132406516733886,0.8244013972719574,0.7270819816884628,0.8534712527921786,0.6511732331850949,0.7862029383795412,0.8588799381039877,0.8364151561250579,1.0,0.6830887020271679,0.8079808108937381,0.5574532695809766,0.6922486522365411,0.7392920818582426,0.42771096997501523,0.6664133871939443
Krt_Progenitor_KRT19,0.633482081834921,0.5826733516642058,0.515526160317252,0.5361716460566787,0.696148689730365,0.6036204593609651,0.7020349581515807,0.6291737693329513,0.7449113876167383,0.7107797755109703,0.6751504408442052,0.6830887020271679,1.0,0.6770706026136993,0.5149187338069765,0.6440212290223463,0.6752851311811174,0.45694916251414275,0.532188765396877
Krt_Proliferating,0.7627317059034426,0.7518569312139916,0.6721253220021921,0.6448001822411014,0.8710066503405045,0.7452743228304676,0.8767836889304792,0.6377242911553492,0.7826541504133634,0.8767658976476638,0.8393390592017979,0.8079808108937381,0.6770706026136993,1.0,0.5967820348954139,0.678198276579758,0.7440869514847382,0.44978069682135785,0.7374510836928698
Lymphatic_CCL21,0.6792754042108312,0.6130749436451935,0.5907518141910778,0.49331552501976855,0.6275303774472365,0.5862404829772322,0.5961948704137783,0.42411425440732453,0.5891016191532116,0.6510487416859814,0.6135810456183599,0.5574532695809766,0.5149187338069765,0.5967820348954139,1.0,0.47620222749275576,0.5835032141656965,0.45645862284212346,0.6080208826002974
Melanocyte_KIT,0.5760987938744034,0.5555891396245303,0.48677120457779005,0.6196165979737499,0.6862264117111171,0.5843157049644713,0.7142328271661751,0.6216283648998965,0.7211671069439851,0.7132311249026079,0.6821943054171412,0.6922486522365411,0.6440212290223463,0.678198276579758,0.47620222749275576,1.0,0.6230511473610728,0.35575281758591737,0.5190469342249441
Mesenchymal_VIM,0.7952918818946273,0.7372268978984109,0.7094625260413787,0.5970999529047449,0.7521202014892291,0.6935547612930252,0.776630095495619,0.6607866819744808,0.8041976622686471,0.7796113586434564,0.7895423656893525,0.7392920818582426,0.6752851311811174,0.7440869514847382,0.5835032141656965,0.6230511473610728,1.0,0.4192645238238083,0.720378757137047
Neural_ADAM23,0.5265615647814723,0.5210827200906389,0.5369018879031806,0.33714443270021355,0.5536152769735762,0.46526588045148015,0.46151171543960356,0.3164865032753567,0.4892837645841856,0.5153024408400869,0.4641955291302649,0.42771096997501523,0.45694916251414275,0.44978069682135785,0.45645862284212346,0.35575281758591737,0.4192645238238083,1.0,0.5197705834025619
Pericyte_RGS5,0.8317521035948497,0.80881932736949,0.7460626238170387,0.5732231938986682,0.754745518208708,0.7102228731013035,0.7470143792205635,0.5626274391799625,0.7411982256954216,0.7773035245214983,0.7759158895288111,0.6664133871939443,0.532188765396877,0.7374510836928698,0.6080208826002974,0.5190469342249441,0.720378757137047,0.5197705834025619,1.0
